"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Ca","Mg","K","Alkalinity","Fe","waterT","lake_catch_ratio","mix_event","secchi_m","Zmax_m","Altitude","wetland","bare_rock"
"Staurosirella.sp.2.Fe+Mg+waterT","Fe+Mg+waterT","s(Fe, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",246.231579451355,255.380682018037,0.27802,NA,17.01,6,30.484,30.819,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"Staurosirella.sp.2.Mg+waterT","Mg+waterT","s(Mg, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",246.355385907475,255.555300994501,0.26826,NA,13,4,30.608,30.994,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"Staurosirella.sp.2.Alkalinity+waterT+Zmax_m","Alkalinity+waterT+Zmax_m","s(Alkalinity, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",246.87242319744,256.021525764122,0.13638,NA,17,6,31.125,31.46,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"Staurosirella.sp.2.Mg+waterT+Zmax_m","Mg+waterT+Zmax_m","s(Mg, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",248.351977293971,257.501079860653,0.15063,NA,17,6,32.604,32.939,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"Tabellaria.fenestrata.bare_rock+Ca","bare_rock+Ca","s(bare_rock, k = 5, bs = ""cr"") + s(Ca, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",183.428868654839,192.628783741864,0.20528,NA,13,0,0,0,0.424,0.362,1,0,0,0,0,0,0,0,0,0,0,0,1
"Tabellaria.fenestrata.bare_rock","bare_rock","s(bare_rock, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",187.454973539735,195.777129718532,0.3006,NA,9,0,4.026,3.148,0.057,0.075,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tabellaria.fenestrata.Ca+secchi_m","Ca+secchi_m","s(Ca, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",187.733419683519,196.933334770544,0.47634,NA,13,2,4.305,4.305,0.049,0.042,1,0,0,0,0,0,0,0,1,0,0,0,0
"Tabellaria.fenestrata.mix_event+Zmax_m","mix_event+Zmax_m","s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",187.759394131826,196.959309218852,0.34854,NA,13,4,4.331,4.331,0.049,0.042,0,0,0,0,0,0,0,1,0,1,0,0,0
"Tabellaria.fenestrata.secchi_m","secchi_m","s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",187.826452482298,196.148608661096,0.44601,NA,9,2,4.398,3.52,0.047,0.062,0,0,0,0,0,0,0,0,1,0,0,0,0
"Tabellaria.fenestrata.Zmax_m","Zmax_m","s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",188.43793365659,196.760089835387,0.33852,NA,9,2,5.009,4.131,0.035,0.046,0,0,0,0,0,0,0,0,0,1,0,0,0
"Tabellaria.fenestrata.K+secchi_m","K+secchi_m","s(K, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",188.687232749844,197.887147836869,0.43001,NA,13,4,5.258,5.258,0.031,0.026,0,0,1,0,0,0,0,0,1,0,0,0,0
"Tabellaria.fenestrata.secchi_m+Zmax_m","secchi_m+Zmax_m","s(secchi_m, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",189.29526917158,198.495184258605,0.4415,NA,13,4,5.866,5.866,0.023,0.019,0,0,0,0,0,0,0,0,1,1,0,0,0
"Tabellaria.fenestrata.null","null","s(Latitude, Longitude, k = 5)",189.392292404446,196.071983792663,0.33416,NA,5,0,5.963,3.443,0.021,0.065,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tabellaria.fenestrata.bare_rock+Zmax_m","bare_rock+Zmax_m","s(bare_rock, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",189.89839651383,199.098311600855,0.32857,NA,13,2,6.47,6.47,0.017,0.014,0,0,0,0,0,0,0,0,0,1,0,0,1
"Tabellaria.fenestrata.Mg+secchi_m","Mg+secchi_m","s(Mg, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",190.161241307611,199.361156394636,0.45081,NA,13,2,6.732,6.732,0.015,0.012,0,1,0,0,0,0,0,0,1,0,0,0,0
"Tabellaria.fenestrata.Ca+wetland","Ca+wetland","s(Ca, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",190.192685415385,199.39260050241,0.40416,NA,13,1,6.764,6.764,0.014,0.012,1,0,0,0,0,0,0,0,0,0,0,1,0
"Tabellaria.fenestrata.wetland","wetland","s(wetland, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",190.505655860336,198.827812039134,0.40332,NA,9,1,7.077,6.199,0.012,0.016,0,0,0,0,0,0,0,0,0,0,0,1,0
"Tabellaria.fenestrata.Altitude","Altitude","s(Altitude, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",190.587150343809,198.909306522607,0.37846,NA,9,3,7.158,6.281,0.012,0.016,0,0,0,0,0,0,0,0,0,0,1,0,0
"Tabellaria.fenestrata.Altitude+Zmax_m","Altitude+Zmax_m","s(Altitude, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",190.753323524693,199.953238611718,0.36796,NA,13,5,7.324,7.324,0.011,0.009,0,0,0,0,0,0,0,0,0,1,1,0,0
"Tabellaria.fenestrata.Fe+secchi_m","Fe+secchi_m","s(Fe, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",190.928574097561,200.128489184587,0.43572,NA,13,4,7.5,7.5,0.01,0.009,0,0,0,0,1,0,0,0,1,0,0,0,0
"Tabellaria.fenestrata.K+mix_event+Zmax_m","K+mix_event+Zmax_m","s(K, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",191.123948954416,200.273051521098,0.34422,NA,17,6,7.695,7.644,0.009,0.008,0,0,1,0,0,0,0,1,0,1,0,0,0
"Tabellaria.fenestrata.Fe+Zmax_m","Fe+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",191.199747228236,200.399662315262,0.32915,NA,13,4,7.771,7.771,0.009,0.007,0,0,0,0,1,0,0,0,0,1,0,0,0
"Tabellaria.fenestrata.Fe","Fe","s(Fe, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",191.292745231195,199.614901409993,0.32323,NA,9,2,7.864,6.986,0.008,0.011,0,0,0,0,1,0,0,0,0,0,0,0,0
"Tabellaria.fenestrata.Mg","Mg","s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",191.588524088033,199.91068026683,0.33315,NA,9,0,8.16,7.282,0.007,0.009,0,1,0,0,0,0,0,0,0,0,0,0,0
"Tabellaria.fenestrata.Fe+mix_event+Zmax_m","Fe+mix_event+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",191.722095778109,200.871198344791,0.34152,NA,17,6,8.293,8.242,0.007,0.006,0,0,0,0,1,0,0,1,0,1,0,0,0
"Tabellaria.fenestrata.mix_event","mix_event","s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",191.745898289478,200.068054468275,0.33891,NA,9,2,8.317,7.439,0.007,0.009,0,0,0,0,0,0,0,1,0,0,0,0,0
"Tabellaria.fenestrata.waterT","waterT","s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",191.83904820782,200.161204386617,0.34596,NA,9,2,8.41,7.532,0.006,0.008,0,0,0,0,0,1,0,0,0,0,0,0,0
"Tabellaria.fenestrata.Ca","Ca","s(Ca, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",191.848926127872,200.171082306669,0.33427,NA,9,1,8.42,7.542,0.006,0.008,1,0,0,0,0,0,0,0,0,0,0,0,0
"Tabellaria.fenestrata.bare_rock+Mg","bare_rock+Mg","s(bare_rock, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",191.890894367692,201.090809454717,0.29896,NA,13,2,8.462,8.462,0.006,0.005,0,1,0,0,0,0,0,0,0,0,0,0,1
"Tabellaria.fenestrata.K","K","s(K, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",191.945277274068,200.267433452866,0.32083,NA,9,2,8.516,7.639,0.006,0.008,0,0,1,0,0,0,0,0,0,0,0,0,0
"Tabellaria.fenestrata.Ca+Fe+secchi_m","Ca+Fe+secchi_m","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",191.957341298837,201.106443865519,0.47151,NA,17,4,8.528,8.478,0.006,0.005,1,0,0,0,1,0,0,0,1,0,0,0,0
"Tabellaria.fenestrata.Alkalinity","Alkalinity","s(Alkalinity, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",192.18490122327,200.507057402067,0.34627,NA,9,2,8.756,7.878,0.005,0.007,0,0,0,1,0,0,0,0,0,0,0,0,0
"Tabellaria.fenestrata.waterT+Zmax_m","waterT+Zmax_m","s(waterT, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",192.212933744598,201.412848831623,0.3453,NA,13,4,8.784,8.784,0.005,0.004,0,0,0,0,0,1,0,0,0,1,0,0,0
"Tabellaria.fenestrata.Alkalinity+Zmax_m","Alkalinity+Zmax_m","s(Alkalinity, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",192.30183714809,201.501752235116,0.33886,NA,13,4,8.873,8.873,0.005,0.004,0,0,0,1,0,0,0,0,0,1,0,0,0
"Tabellaria.fenestrata.K+Zmax_m","K+Zmax_m","s(K, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",192.308113251108,201.508028338134,0.33527,NA,13,4,8.879,8.879,0.005,0.004,0,0,1,0,0,0,0,0,0,1,0,0,0
"Tabellaria.fenestrata.Mg+mix_event+Zmax_m","Mg+mix_event+Zmax_m","s(Mg, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",192.415219798347,201.564322365029,0.35048,NA,17,4,8.986,8.936,0.005,0.004,0,1,0,0,0,0,0,1,0,1,0,0,0
"Tabellaria.fenestrata.K+secchi_m+Zmax_m","K+secchi_m+Zmax_m","s(K, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",192.462372379621,201.611474946303,0.44897,NA,17,6,9.034,8.983,0.005,0.004,0,0,1,0,0,0,0,0,1,1,0,0,0
"Tabellaria.fenestrata.lake_catch_ratio+Mg","lake_catch_ratio+Mg","s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",192.722104395377,201.922019482403,0.17578,NA,13.05,3,9.293,9.293,0.004,0.003,0,1,0,0,0,0,1,0,0,0,0,0,0
"Tabellaria.fenestrata.Fe+K+secchi_m","Fe+K+secchi_m","s(Fe, k = 5, bs = ""cr"") + s(K, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",192.798789151738,201.94789171842,0.41942,NA,17,6,9.37,9.319,0.004,0.003,0,0,1,0,1,0,0,0,1,0,0,0,0
"Tabellaria.fenestrata.Mg+Zmax_m","Mg+Zmax_m","s(Mg, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",192.856425767077,202.056340854102,0.34011,NA,13,2,9.428,9.428,0.004,0.003,0,1,0,0,0,0,0,0,0,1,0,0,0
"Tabellaria.fenestrata.Mg+waterT","Mg+waterT","s(Mg, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",193.061579328666,202.261494415691,0.34781,NA,13,2,9.633,9.633,0.003,0.003,0,1,0,0,0,1,0,0,0,0,0,0,0
"Tabellaria.fenestrata.Ca+Fe+wetland","Ca+Fe+wetland","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",193.097400181523,202.246502748205,0.39619,NA,17,3,9.669,9.618,0.003,0.003,1,0,0,0,1,0,0,0,0,0,0,1,0
"Tabellaria.fenestrata.K+Mg+secchi_m","K+Mg+secchi_m","s(K, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",193.135175179392,202.284277746074,0.43168,NA,17,4,9.706,9.655,0.003,0.003,0,1,1,0,0,0,0,0,1,0,0,0,0
"Tabellaria.fenestrata.Fe+wetland","Fe+wetland","s(Fe, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",193.197034361318,202.396949448343,0.39331,NA,13,3,9.768,9.768,0.003,0.003,0,0,0,0,1,0,0,0,0,0,0,1,0
"Tabellaria.fenestrata.Fe+secchi_m+Zmax_m","Fe+secchi_m+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",193.314498942281,202.463601508963,0.42871,NA,17,6,9.886,9.835,0.003,0.003,0,0,0,0,1,0,0,0,1,1,0,0,0
"Tabellaria.fenestrata.Mg+wetland","Mg+wetland","s(Mg, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",193.341445535808,202.541360622833,0.43576,NA,13,2,9.913,9.913,0.003,0.003,0,1,0,0,0,0,0,0,0,0,0,1,0
"Tabellaria.fenestrata.Altitude+Mg","Altitude+Mg","s(Altitude, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",193.520074206412,202.719989293437,0.37993,NA,13,3,10.091,10.091,0.003,0.002,0,1,0,0,0,0,0,0,0,0,1,0,0
"Tabellaria.fenestrata.Alkalinity+waterT","Alkalinity+waterT","s(Alkalinity, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",193.881531680662,203.081446767687,0.38474,NA,13,4,10.453,10.453,0.002,0.002,0,0,0,1,0,1,0,0,0,0,0,0,0
"Tabellaria.fenestrata.Mg+secchi_m+Zmax_m","Mg+secchi_m+Zmax_m","s(Mg, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",193.945863294277,203.094965860959,0.45338,NA,17,4,10.517,10.466,0.002,0.002,0,1,0,0,0,0,0,0,1,1,0,0,0
"Tabellaria.fenestrata.K+mix_event","K+mix_event","s(K, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",194.157474029164,203.357389116189,0.32169,NA,13,4,10.729,10.729,0.002,0.002,0,0,1,0,0,0,0,1,0,0,0,0,0
"Tabellaria.fenestrata.Fe+Mg+secchi_m","Fe+Mg+secchi_m","s(Fe, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",194.311287650821,203.460390217503,0.44581,NA,17,4,10.882,10.832,0.002,0.002,0,1,0,0,1,0,0,0,1,0,0,0,0
"Tabellaria.fenestrata.Mg+mix_event","Mg+mix_event","s(Mg, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",194.337616528663,203.537531615689,0.33878,NA,13,2,10.909,10.909,0.002,0.002,0,1,0,0,0,0,0,1,0,0,0,0,0
"Tabellaria.fenestrata.Ca+Fe","Ca+Fe","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",194.379436352516,203.579351439541,0.32704,NA,13,3,10.951,10.951,0.002,0.002,1,0,0,0,1,0,0,0,0,0,0,0,0
"Tabellaria.fenestrata.Fe+Mg","Fe+Mg","s(Fe, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",194.44122562746,203.641140714486,0.32645,NA,13,2,11.012,11.012,0.002,0.001,0,1,0,0,1,0,0,0,0,0,0,0,0
"Tabellaria.fenestrata.Fe+mix_event","Fe+mix_event","s(Fe, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",194.451596787225,203.65151187425,0.32804,NA,13,4,11.023,11.023,0.002,0.001,0,0,0,0,1,0,0,1,0,0,0,0,0
"Tabellaria.fenestrata.Fe+K","Fe+K","s(Fe, k = 5, bs = ""cr"") + s(K, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",194.608346923819,203.808262010844,0.30836,NA,13,4,11.179,11.179,0.002,0.001,0,0,1,0,1,0,0,0,0,0,0,0,0
"Tabellaria.fenestrata.Fe+waterT","Fe+waterT","s(Fe, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",194.608958228766,203.808873315792,0.3356,NA,13,4,11.18,11.18,0.002,0.001,0,0,0,0,1,1,0,0,0,0,0,0,0
"Tabellaria.fenestrata.bare_rock+Mg+Zmax_m","bare_rock+Mg+Zmax_m","s(bare_rock, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",194.766445799057,203.915548365739,0.32101,NA,17,2,11.338,11.287,0.001,0.001,0,1,0,0,0,0,0,0,0,1,0,0,1
"Tabellaria.fenestrata.wetland+Zmax_m","wetland+Zmax_m","s(wetland, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",195.062218396808,204.262133483833,0.5952,NA,13.01,4,11.633,11.633,0.001,0.001,0,0,0,0,0,0,0,0,0,1,0,1,0
"Tabellaria.fenestrata.Ca+waterT","Ca+waterT","s(Ca, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",195.127687159889,204.327602246915,0.34987,NA,13,4,11.699,11.699,0.001,0.001,1,0,0,0,0,1,0,0,0,0,0,0,0
"Tabellaria.fenestrata.K+Mg","K+Mg","s(K, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",195.350070265756,204.549985352781,0.3247,NA,13,2,11.921,11.921,0.001,0.001,0,1,1,0,0,0,0,0,0,0,0,0,0
"Tabellaria.fenestrata.K+waterT","K+waterT","s(K, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",195.417878054358,204.617793141383,0.33523,NA,13,4,11.989,11.989,0.001,0.001,0,0,1,0,0,1,0,0,0,0,0,0,0
"Tabellaria.fenestrata.lake_catch_ratio","lake_catch_ratio","s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",195.531198084422,203.85335426322,0.74102,NA,9.02,3,12.102,11.225,0.001,0.001,0,0,0,0,0,0,1,0,0,0,0,0,0
"Tabellaria.fenestrata.Fe+waterT+Zmax_m","Fe+waterT+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",195.977435060342,205.126537627024,0.33628,NA,17,6,12.549,12.498,0.001,0.001,0,0,0,0,1,1,0,0,0,1,0,0,0
"Tabellaria.fenestrata.Fe+K+Zmax_m","Fe+K+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(K, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",196.014793469669,205.163896036351,0.32645,NA,17,6,12.586,12.535,0.001,0.001,0,0,1,0,1,0,0,0,0,1,0,0,0
"Tabellaria.fenestrata.Mg+waterT+Zmax_m","Mg+waterT+Zmax_m","s(Mg, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",196.285930503431,205.435033070113,0.35003,NA,17,4,12.857,12.806,0.001,0.001,0,1,0,0,0,1,0,0,0,1,0,0,0
"Tabellaria.fenestrata.Alkalinity+waterT+Zmax_m","Alkalinity+waterT+Zmax_m","s(Alkalinity, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",196.299204362118,205.4483069288,0.36452,NA,17,6,12.87,12.82,0.001,0.001,0,0,0,1,0,1,0,0,0,1,0,0,0
"Tabellaria.fenestrata.Altitude+Mg+Zmax_m","Altitude+Mg+Zmax_m","s(Altitude, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",196.439461251461,205.588563818143,0.36838,NA,17,7,13.011,12.96,0.001,0.001,0,1,0,0,0,0,0,0,0,1,1,0,0
"Tabellaria.fenestrata.Fe+Mg+Zmax_m","Fe+Mg+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",196.62801313229,205.777115698972,0.33343,NA,17,4,13.199,13.148,0.001,0.001,0,1,0,0,1,0,0,0,0,1,0,0,0
"Tabellaria.fenestrata.Fe+Mg+waterT","Fe+Mg+waterT","s(Fe, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",196.964990104377,206.114092671059,0.34396,NA,17,4,13.536,13.485,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"Tabellaria.fenestrata.K+waterT+Zmax_m","K+waterT+Zmax_m","s(K, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",197.068880284067,206.217982850749,0.34311,NA,17,6,13.64,13.589,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"Tabellaria.fenestrata.Fe+Mg+wetland","Fe+Mg+wetland","s(Fe, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",197.174903014723,206.324005581405,0.43068,NA,17,4,13.746,13.695,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"Tabellaria.fenestrata.K+Mg+Zmax_m","K+Mg+Zmax_m","s(K, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",197.737089395745,206.886191962427,0.33827,NA,17,4,14.308,14.257,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"Tabellaria.fenestrata.K+Mg+mix_event","K+Mg+mix_event","s(K, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",197.762841263792,206.911943830474,0.31941,NA,17,4,14.334,14.283,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"Tabellaria.fenestrata.Fe+K+mix_event","Fe+K+mix_event","s(Fe, k = 5, bs = ""cr"") + s(K, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",197.803257360039,206.95235992672,0.30391,NA,17.12,6,14.374,14.324,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
"Tabellaria.fenestrata.K+Mg+waterT","K+Mg+waterT","s(K, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",197.99934324491,207.148445811592,0.34759,NA,17,4,14.57,14.52,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"Tabellaria.fenestrata.Fe+Mg+mix_event","Fe+Mg+mix_event","s(Fe, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",198.252909977473,207.402012544155,0.33288,NA,17,4,14.824,14.773,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"Tabellaria.fenestrata.Fe+K+Mg","Fe+K+Mg","s(Fe, k = 5, bs = ""cr"") + s(K, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",198.680399979916,207.829502546597,0.31246,NA,17,4,15.252,15.201,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"Tabellaria.fenestrata.Ca+Fe+waterT","Ca+Fe+waterT","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",198.758105865925,207.907208432607,0.34358,NA,17,6,15.329,15.278,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"Tabellaria.fenestrata.Fe+wetland+Zmax_m","Fe+wetland+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",198.837160013702,207.986262580384,0.58715,NA,17.01,6,15.408,15.357,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
"Tabellaria.fenestrata.Fe+K+waterT","Fe+K+waterT","s(Fe, k = 5, bs = ""cr"") + s(K, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",199.153512981234,208.302615547916,0.32575,NA,17,6,15.725,15.674,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
"Tabellaria.fenestrata.Mg+wetland+Zmax_m","Mg+wetland+Zmax_m","s(Mg, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",199.277377734771,208.426480301453,0.58583,NA,17.08,4,15.849,15.798,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
